,provinceName,cityName,confirmed,cured,dead,suspected,longitude,latitude
0,湖北省,武汉,8351,373,362,0,114.31158155473231,30.598466736400987
1,湖北省,黄冈,1645,52,25,0,114.87849048410779,30.4593588576181
2,湖北省,孝感,1462,9,18,0,113.92251007733665,30.930689227018295
3,湖北省,襄阳,735,7,2,0,112.12853720100244,32.014796804669224
4,湖北省,荆州,713,12,9,0,112.24552262926137,30.340842107742912
5,湖北省,随州,706,9,8,0,113.38945001822157,31.6965167723283
6,湖北省,黄石,509,23,2,0,115.04553290894361,30.205207848941598
7,湖北省,宜昌,496,9,4,0,111.29254921035434,30.697446484492378
8,湖北省,荆门,422,16,16,0,112.20639298023002,31.041732575569622
9,湖北省,咸宁,384,3,0,0,114.32851909026844,29.847055947646492
10,湖北省,鄂州,382,6,18,0,114.90160738827099,30.39657217331699
11,湖北省,十堰,318,9,0,0,110.80452956069568,32.63506185840116
12,湖北省,仙桃,225,0,4,0,113.44960935856369,30.33358775114635
13,湖北省,恩施州,138,10,0,0,109.49459261857503,30.277939575301094
14,湖北省,天门,128,0,10,0,113.17240916632808,30.669621830099477
15,湖北省,潜江,54,0,1,0,112.9054740908161,30.40835793241892
16,湖北省,神农架林区,10,2,0,0,110.68252485039976,31.750496011246412
17,广东省,深圳,291,16,0,0,114.06455183658751,22.548456637984177
18,广东省,广州,249,7,0,0,113.27143134445974,23.135336306695006
19,广东省,珠海,72,4,0,0,113.58255478654918,22.27656465424921
20,广东省,佛山,50,1,0,0,113.12851219549718,23.02775875078891
21,广东省,东莞,44,1,0,0,113.75842045787648,23.02730841164339
22,广东省,中山,36,3,0,0,113.39942236263188,22.5223146707905
23,广东省,惠州,34,1,0,0,114.4235580165817,23.116358854725593
24,广东省,汕头,20,3,0,0,116.68852864054833,23.35909171772515
25,广东省,湛江,18,3,0,0,110.36555441392824,21.276723439012073
26,广东省,肇庆,13,1,0,0,112.47148894063035,23.052888771125616
27,广东省,阳江,12,0,0,0,111.98848929181268,21.864339726138933
28,广东省,梅州,10,0,0,0,116.12953737612247,24.294177532206206
29,广东省,清远,10,2,0,0,113.06246832527266,23.688230292088083
30,广东省,江门,7,0,0,0,113.08855619524043,22.584603880965
31,广东省,韶关,6,1,0,0,113.60352734562261,24.815881278583017
32,广东省,茂名,6,0,0,0,110.931542579969,21.669064031332095
33,广东省,揭阳,6,0,0,0,116.37851218033846,23.555740488275585
34,广东省,汕尾,5,0,0,0,115.38155260365083,22.79126303654673
35,广东省,潮州,5,0,0,0,116.62947017362819,23.662623192615886
36,广东省,河源,1,0,0,0,114.70744627290641,23.749684370959752
37,浙江省,温州,364,28,0,0,120.70647689035565,28.00108540447221
38,浙江省,杭州,141,14,0,0,120.21551180372168,30.25308298169347
39,浙江省,台州,122,14,0,0,121.42743470427969,28.66219405599615
40,浙江省,宁波,120,4,0,0,121.62857249434141,29.866033045866054
41,浙江省,金华,44,8,0,0,119.65343619052916,29.084639385513697
42,浙江省,绍兴,30,3,0,0,120.58547847885335,30.0363693113069
43,浙江省,嘉兴,27,0,0,0,120.76355182586005,30.750974830920143
44,浙江省,丽水,16,1,0,0,119.9295730584414,28.473278180563412
45,浙江省,衢州,15,2,0,0,118.86659674035565,28.975545802265025
46,浙江省,湖州,9,1,0,0,120.09451660915789,30.898963937294184
47,浙江省,舟山,7,2,0,0,122.21355631852045,29.99091168016034
48,河南省,信阳,138,9,0,0,114.09748283304512,32.15301454753105
49,河南省,南阳,107,4,2,0,112.53450131351325,32.99656220465144
50,河南省,郑州,92,19,0,0,113.63141920733915,34.75343885045448
51,河南省,驻马店,82,2,0,0,114.02847078173271,33.01784241674367
52,河南省,商丘,61,3,0,0,115.66244933826238,34.4202016658586
53,河南省,周口,56,5,0,0,114.70348251482332,33.6318288757022
54,河南省,新乡,39,2,0,0,113.93360046733228,35.3096399303368
55,河南省,安阳市,35,1,0,0,114.39950042177432,36.10594098401491
56,河南省,平顶山,34,0,0,0,113.19952856052156,33.772050748691015
57,河南省,许昌,24,0,0,0,113.85847553685502,34.04143161161871
58,河南省,漯河市,24,1,0,0,114.02342077764726,33.5877107071022
59,河南省,开封,17,1,0,0,114.31459258497121,34.80288581121172
60,河南省,洛阳,17,1,0,0,112.4594212983115,34.62426277921943
61,河南省,焦作,15,1,0,0,113.24854783457334,35.22096325403899
62,河南省,鹤壁,10,0,0,0,114.30359364247649,35.7523574114
63,河南省,三门峡,7,1,0,0,111.2065332238741,34.778327249459984
64,河南省,濮阳,4,0,0,0,115.03559747034215,35.76759302890629
65,河南省,济源,2,0,0,0,112.60858070620743,35.072907226846525
66,湖南省,长沙,164,8,0,0,112.94547319535287,28.23488939994364
67,湖南省,岳阳,89,2,0,0,113.13548942422142,29.3631782939259
68,湖南省,邵阳,68,2,0,0,111.474432885931,27.245270272808565
69,湖南省,常德,56,3,0,0,111.70545217995837,29.037749999406877
70,湖南省,娄底,45,3,0,0,112.00150349288418,27.703208596991583
71,湖南省,益阳,40,3,0,0,112.36151595471031,28.559711178489888
72,湖南省,衡阳,39,5,0,0,112.57844721325992,26.899576139189122
73,湖南省,株洲,38,2,0,0,113.14047079776427,27.833567639016444
74,湖南省,怀化,35,6,0,0,110.00851426537254,27.575160902978517
75,湖南省,永州,30,8,0,0,111.61945505792227,26.425864117900094
76,湖南省,郴州,24,2,0,0,113.02146049909462,25.776683273601865
77,湖南省,湘潭,23,5,0,0,112.95046418076468,27.835702227135585
78,湖南省,湘西自治州,7,1,0,0,,
79,湖南省,张家界,3,2,0,0,110.48553254695402,29.122815562551878
