cityName,confirmed,infectionRate
武汉,2261,1.0
孝感,399,0.7
黄冈,496,0.7
荆门,191,0.6
温州,172,0.6
随州,143,0.6
咸宁,130,0.6
鄂州,123,0.6
荆州,151,0.6
宜昌,117,0.6
襄阳,163,0.6
十堰,119,0.6
黄石,113,0.6
安阳,16,0.5
南阳,51,0.5
上饶,11,0.5
新余,11,0.5
新乡,11,0.5
合肥,39,0.5
济南,14,0.5
青岛,18,0.5
宜春,14,0.5
郑州,46,0.5
烟台,13,0.5
抚州,13,0.5
仙桃,55,0.5
赣州,21,0.5
九江,31,0.5
南昌,46,0.5
商丘,18,0.5
潜江,10,0.5
天门,44,0.5
临沂,16,0.5
恩施州,66,0.5
周口,25,0.5
信阳,42,0.5
威海,14,0.5
德州,11,0.5
南京,19,0.5
益阳,17,0.5
长沙,57,0.5
衡阳,20,0.5
株洲,18,0.5
邵阳,29,0.5
岳阳,29,0.5
常德,30,0.5
郴州,10,0.5
昆明,21,0.5
永州,14,0.5
怀化,23,0.5
娄底,16,0.5
成都,59,0.5
外地来沪,48,0.5
浦东,13,0.5
绥化,10,0.5
西双版纳州,10,0.5
兰州,14,0.5
西城,12,0.5
外地来京人员,11,0.5
大兴,10,0.5
丰台,10,0.5
海淀,24,0.5
福州,30,0.5
朝阳,21,0.5
泉州,18,0.5
哈尔滨,13,0.5
三明,10,0.5
莆田,17,0.5
南宁,15,0.5
柳州,10,0.5
桂林,18,0.5
北海,15,0.5
驻马店,25,0.5
漯河,11,0.5
马鞍山,14,0.5
忠,11,0.5
佛山,25,0.5
广州,79,0.5
深圳,86,0.5
阜阳,28,0.5
衢州,10,0.5
云阳,12,0.5
金华,20,0.5
芜湖,14,0.5
惠州,17,0.5
绍兴,19,0.5
铜陵,10,0.5
嘉兴,16,0.5
安庆,18,0.5
万州,24,0.5
开州,13,0.5
西安,22,0.5
珠海,18,0.5
安康,10,0.5
中山,16,0.5
无锡,10,0.5
徐州,15,0.5
石家庄,11,0.5
汕头,12,0.5
沧州,12,0.5
常州,10,0.5
苏州,24,0.5
亳州,20,0.5
宿州,10,0.5
阳江,10,0.5
台州,64,0.5
吐鲁番,1,0.4
大理州,4,0.4
资阳,2,0.4
韩城,1,0.4
凉山州,2,0.4
东城,2,0.4
德宏州,2,0.4
宁波,1,0.4
普洱,3,0.4
杭州,9,0.4
兵团第八师石河子,1,0.4
玉溪,6,0.4
丽江,6,0.4
曲靖,5,0.4
乌鲁木齐,7,0.4
雅安,2,0.4
伊犁州,4,0.4
保山,5,0.4
昭通,4,0.4
红河州,4,0.4
兵团第七师,1,0.4
眉山,2,0.4
德阳,3,0.4
乐山,2,0.4
遂宁,4,0.4
金山,1,0.4
绵阳,9,0.4
南充,9,0.4
广安,9,0.4
自贡,7,0.4
达州,6,0.4
泸州,5,0.4
宜宾,5,0.4
甘孜州,5,0.4
松江,1,0.4
广元,3,0.4
舟山,6,0.4
青浦,2,0.4
商洛,2,0.4
内江,4,0.4
嘉定,2,0.4
宝山,2,0.4
虹口,2,0.4
巴中,4,0.4
湖州,5,0.4
长垣,1,0.4
顺义,2,0.4
汉中,6,0.4
营口,1,0.4
朝阳,4,0.4
铁岭,2,0.4
开封,4,0.4
洛阳,2,0.4
平顶山,8,0.4
鹤壁,6,0.4
辽阳,1,0.4
焦作,2,0.4
濮阳,1,0.4
许昌,3,0.4
黄浦,4,0.4
三门峡,5,0.4
锦州,4,0.4
榆林,1,0.4
丹东,5,0.4
本溪,3,0.4
大连,5,0.4
沈阳,9,0.4
宿迁,4,0.4
泰州,9,0.4
镇江,2,0.4
扬州,8,0.4
盐城,6,0.4
淮安,7,0.4
连云港,6,0.4
南通,9,0.4
黔西南州,1,0.4
盘锦,3,0.4
黔南州,4,0.4
黔东南州,1,0.4
延安,3,0.4
渭南,4,0.4
铜川,5,0.4
石景山,2,0.4
门头沟,1,0.4
通州,8,0.4
滑,1,0.4
咸阳,5,0.4
昌平,8,0.4
宝鸡,4,0.4
白银,1,0.4
临夏州,2,0.4
定西,2,0.4
张掖,2,0.4
陇南,1,0.4
金昌,1,0.4
天水,2,0.4
平凉,1,0.4
贵阳,1,0.4
遵义,1,0.4
六盘水,1,0.4
西宁,6,0.4
毕节,1,0.4
葫芦岛,4,0.4
铜仁,2,0.4
闵行,3,0.4
双鸭山,1,0.4
奉贤,5,0.4
肇庆,5,0.4
河源,1,0.4
汕尾,1,0.4
江门,6,0.4
茂名,3,0.4
韶关,4,0.4
梅州,5,0.4
揭阳,6,0.4
锡林郭勒盟,2,0.4
清远,6,0.4
东莞,7,0.4
湛江,9,0.4
两江新区,8,0.4
秀山,1,0.4
石柱,7,0.4
廊坊,9,0.4
保定,7,0.4
张家口,6,0.4
邯郸,6,0.4
邢台,5,0.4
衡水,4,0.4
唐山,3,0.4
承德,2,0.4
神农架林区,5,0.4
萍乡,5,0.4
吉安,5,0.4
鹰潭,3,0.4
景德镇,2,0.4
呼和浩特,2,0.4
包头,3,0.4
呼伦贝尔,2,0.4
兴安盟,1,0.4
巫溪,5,0.4
巫山,5,0.4
奉节,4,0.4
南岸,2,0.4
蚌埠,8,0.4
淮南,6,0.4
滁州,4,0.4
六安,8,0.4
宣城,4,0.4
池州,2,0.4
黄山,7,0.4
宿松,6,0.4
黔江,1,0.4
涪陵,1,0.4
渝中,2,0.4
大渡口,6,0.4
江北,6,0.4
九龙坡,5,0.4
渝北,7,0.4
垫江,5,0.4
巴南,1,0.4
长寿,7,0.4
江津,3,0.4
合川,6,0.4
永川,3,0.4
綦江,4,0.4
大足,2,0.4
璧山,4,0.4
铜梁,2,0.4
潼南,2,0.4
梁平,1,0.4
武隆,1,0.4
城口,1,0.4
丰都,3,0.4
通辽,1,0.4
鄂尔多斯,3,0.4
长宁,5,0.4
佳木斯,5,0.4
大兴安岭地,1,0.4
鹤岗,1,0.4
七台河,2,0.4
淮北,2,0.4
鸡西,1,0.4
大庆,5,0.4
牡丹江,1,0.4
巴彦淖尔,2,0.4
齐齐哈尔,3,0.4
贺州,1,0.4
钦州,1,0.4
河池,5,0.4
百色,2,0.4
玉林,2,0.4
湘潭,9,0.4
张家界,1,0.4
湘西自治州,4,0.4
长春,4,0.4
吉林,3,0.4
松原,2,0.4
四平,1,0.4
公主岭,1,0.4
通化,1,0.4
延边州,2,0.4
银川,9,0.4
吴忠,5,0.4
固原,1,0.4
中卫,1,0.4
宁东管委会,1,0.4
静安,8,0.4
徐汇,5,0.4
防城港,5,0.4
梧州,4,0.4
宁德,8,0.4
朔州,3,0.4
淄博,6,0.4
枣庄,8,0.4
潍坊,7,0.4
济宁,8,0.4
