cityName,confirmed,infectionRate
武汉,2639,1.0
孝感,541,0.8
黄冈,573,0.8
宜昌,167,0.6
咸宁,166,0.6
黄石,168,0.6
广州,106,0.6
深圳,110,0.6
十堰,150,0.6
襄阳,286,0.6
荆州,221,0.6
荆门,227,0.6
鄂州,189,0.6
温州,227,0.6
随州,228,0.6
苏州,32,0.5
南通,10,0.5
徐州,20,0.5
岳阳,37,0.5
淮安,10,0.5
邵阳,36,0.5
湘潭,10,0.5
株洲,19,0.5
泰州,12,0.5
衡阳,25,0.5
沈阳,10,0.5
长沙,68,0.5
绥化,12,0.5
常州,13,0.5
合肥,50,0.5
南京,25,0.5
郴州,12,0.5
安阳,20,0.5
新乡,15,0.5
娄底,20,0.5
怀化,26,0.5
永州,16,0.5
漯河,13,0.5
南阳,61,0.5
常德,37,0.5
商丘,27,0.5
信阳,49,0.5
周口,36,0.5
驻马店,30,0.5
益阳,20,0.5
福州,32,0.5
哈尔滨,18,0.5
柳州,11,0.5
厦门,13,0.5
朝阳,22,0.5
昆明,24,0.5
上饶,12,0.5
抚州,15,0.5
宜春,26,0.5
赣州,27,0.5
新余,28,0.5
九江,42,0.5
南昌,67,0.5
西双版纳州,12,0.5
潜江,12,0.5
天门,67,0.5
仙桃,90,0.5
恩施州,75,0.5
西城,13,0.5
海淀,26,0.5
泉州,22,0.5
丰台,11,0.5
保定,11,0.5
石家庄,11,0.5
通州,12,0.5
大兴,16,0.5
昌平,12,0.5
北海,17,0.5
其他,11,0.5
桂林,18,0.5
郑州,50,0.5
南宁,16,0.5
兰州,15,0.5
莆田,22,0.5
三明,10,0.5
平顶山,10,0.5
无锡,12,0.5
成都,69,0.5
嘉兴,16,0.5
东莞,16,0.5
金华,27,0.5
惠州,17,0.5
铜陵,14,0.5
绍兴,23,0.5
安庆,18,0.5
佛山,32,0.5
汕头,12,0.5
珠海,26,0.5
万州,28,0.5
芜湖,14,0.5
宁波,46,0.5
杭州,85,0.5
渝北,10,0.5
其他,58,0.5
云阳,15,0.5
忠,12,0.5
开州,16,0.5
广安,13,0.5
绵阳,11,0.5
中山,18,0.5
南充,11,0.5
阳江,10,0.5
蚌埠,15,0.5
马鞍山,14,0.5
亳州,20,0.5
宿州,10,0.5
银川,11,0.5
浦东,22,0.5
三亚,14,0.5
阜阳,38,0.5
台州,81,0.5
衢州,12,0.5
湛江,11,0.5
遂宁,5,0.4
泸州,5,0.4
石景山,2,0.4
门头沟,1,0.4
内江,6,0.4
顺义,2,0.4
丽江,6,0.4
保山,6,0.4
宜宾,7,0.4
德阳,7,0.4
德宏州,3,0.4
甘孜州,5,0.4
怀柔,1,0.4
巴彦淖尔,2,0.4
鄂尔多斯,3,0.4
巴中,5,0.4
昭通,4,0.4
雅安,3,0.4
攀枝花,1,0.4
舟山,7,0.4
达州,8,0.4
红河州,4,0.4
玉溪,6,0.4
曲靖,5,0.4
阿坝州,1,0.4
资阳,2,0.4
凉山州,3,0.4
眉山,2,0.4
乐山,2,0.4
广元,2,0.4
大理州,6,0.4
普洱,4,0.4
东城,3,0.4
湖州,6,0.4
松原,2,0.4
自贡,9,0.4
鹤岗,1,0.4
大兴安岭地,2,0.4
松江,3,0.4
黄埔,4,0.4
金山,1,0.4
杨浦,1,0.4
青浦,2,0.4
闵行,5,0.4
锡林郭勒盟,2,0.4
虹口,4,0.4
张家界,1,0.4
徐汇,5,0.4
静安,8,0.4
长宁,6,0.4
灵武,1,0.4
中卫,2,0.4
固原,2,0.4
吴忠,5,0.4
延边州,2,0.4
通化,1,0.4
湘西自治州,5,0.4
公主岭,1,0.4
四平,1,0.4
长春,3,0.4
宝山,2,0.4
七台河,3,0.4
白银,1,0.4
双鸭山,1,0.4
临夏州,2,0.4
吉林,3,0.4
定西,2,0.4
奉贤,5,0.4
张掖,2,0.4
陇南,3,0.4
金昌,1,0.4
天水,2,0.4
平凉,2,0.4
贵阳,1,0.4
遵义,1,0.4
六盘水,4,0.4
毕节,1,0.4
铜仁,2,0.4
黔东南州,1,0.4
黔南州,4,0.4
黔西南州,1,0.4
嘉定,2,0.4
齐齐哈尔,3,0.4
牡丹江,2,0.4
佳木斯,8,0.4
大庆,7,0.4
鸡西,2,0.4
乌兰察布,2,0.4
唐山,7,0.4
赤峰,2,0.4
通辽,1,0.4
巫溪,9,0.4
石柱,7,0.4
秀山,1,0.4
两江新区,9,0.4
韶关,4,0.4
河源,1,0.4
梅州,5,0.4
汕尾,3,0.4
江门,1,0.4
茂名,3,0.4
肇庆,6,0.4
清远,6,0.4
揭阳,6,0.4
海口,9,0.4
儋州,5,0.4
琼海,4,0.4
万宁,8,0.4
东方,1,0.4
澄迈,2,0.4
临高,1,0.4
陵水,2,0.4
琼中,1,0.4
定安,1,0.4
昌江,1,0.4
开封,6,0.4
洛阳,3,0.4
鹤壁,6,0.4
焦作,2,0.4
濮阳,3,0.4
巫山,6,0.4
奉节,5,0.4
垫江,8,0.4
南岸,3,0.4
淮南,6,0.4
滁州,4,0.4
六安,9,0.4
宣城,4,0.4
池州,4,0.4
黄山,9,0.4
宿松,6,0.4
黔江,2,0.4
涪陵,1,0.4
渝中,5,0.4
大渡口,6,0.4
江北,8,0.4
九龙坡,8,0.4
巴南,1,0.4
丰都,3,0.4
长寿,8,0.4
江津,3,0.4
合川,6,0.4
永川,3,0.4
綦江,4,0.4
大足,4,0.4
璧山,6,0.4
铜梁,2,0.4
潼南,2,0.4
荣昌,1,0.4
梁平,2,0.4
武隆,1,0.4
城口,1,0.4
许昌,8,0.4
三门峡,6,0.4
滑,1,0.4
邢台,7,0.4
南平,3,0.4
龙岩,1,0.4
宁德,9,0.4
梧州,4,0.4
防城港,7,0.4
玉林,4,0.4
百色,2,0.4
河池,6,0.4
钦州,1,0.4
贺州,1,0.4
沧州,1,0.4
廊坊,9,0.4
邯郸,7,0.4
淮北,2,0.4
兵团第八师石河子,1,0.4
张家口,6,0.4
衡水,4,0.4
承德,2,0.4
沧州,1,0.4
神农架林区,7,0.4
萍乡,8,0.4
吉安,8,0.4
鹰潭,4,0.4
景德镇,3,0.4
呼和浩特,2,0.4
包头,3,0.4
呼伦贝尔,2,0.4
兴安盟乌兰浩特,1,0.4
漳州,8,0.4
兵团第七师,1,0.4
长垣,2,0.4
朝阳,5,0.4
永城,4,0.4
连云港,9,0.4
盐城,8,0.4
扬州,8,0.4
镇江,2,0.4
宿迁,7,0.4
大连,7,0.4
本溪,3,0.4
丹东,5,0.4
锦州,4,0.4
营口,1,0.4
辽阳,1,0.4
铁岭,2,0.4
盘锦,3,0.4
阿克苏地,1,0.4
葫芦岛,4,0.4
晋中,9,0.4
运城,8,0.4
吕梁,5,0.4
大同,5,0.4
太原,4,0.4
朔州,3,0.4
长治,3,0.4
阳泉,1,0.4
临汾,1,0.4
乌鲁木齐,8,0.4
伊犁州,5,0.4
吐鲁番,1,0.4
丽水,7,0.4
